text,category
zomato order,Food
swiggy dinner,Food
swiggy lunch,Food
swiggy breakfast,Food
swiggy instamart,Food
pizza hut,Food
pizza hut order,Food
burger king meal,Food
dominos pizza,Food
restaurant lunch,Food
cafe coffee,Food
ordered food online,Food
dinner at restaurant,Food
breakfast order,Food
coffee with friends,Food
lunch with colleagues,Food
dinner outing,Food
snacks purchase,Food
ice cream,Food
tea stall,Food
fast food,Food
street food,Food
bakery items,Food
food delivery,Food
restaurant bill,Food
uber eats,Food
uber ride,Travel
ola cab,Travel
bus ticket,Travel
train ticket,Travel
auto fare,Travel
metro ticket,Travel
flight booking,Travel
taxi ride,Travel
petrol refill,Travel
fuel expense,Travel
cab booking,Travel
daily commute,Travel
office travel,Travel
trip expense,Travel
holiday travel,Travel
fuel station,Travel
bike petrol,Travel
car fuel,Travel
uber trip,Travel
amazon shopping,Shopping
flipkart order,Shopping
buy clothes,Shopping
shopping mall purchase,Shopping
online shopping,Shopping
bought shoes,Shopping
grocery shopping,Shopping
supermarket purchase,Shopping
electronics purchase,Shopping
mobile accessories,Shopping
amazon groceries,Shopping
flipkart electronics,Shopping
shopping clothes,Shopping
movie ticket,Entertainment
netflix subscription,Entertainment
spotify subscription,Entertainment
concert ticket,Entertainment
game purchase,Entertainment
youtube premium,Entertainment
cinema snacks,Entertainment
theatre ticket,Entertainment
gaming subscription,Entertainment
ott subscription,Entertainment
movie night,Entertainment
netflix monthly,Entertainment
gym membership,Health
doctor visit,Health
medicine purchase,Health
hospital bill,Health
health checkup,Health
pharmacy expense,Health
fitness subscription,Health
protein supplements,Health
yoga class,Health
medical test,Health
gym fees,Health
doctor consultation,Health
medicine bill,Health
electricity bill,Bills
water bill,Bills
internet bill,Bills
mobile recharge,Bills
wifi bill,Bills
gas bill,Bills
utility bill,Bills
broadband recharge,Bills
dth recharge,Bills
subscription bill,Bills
internet recharge,Bills
mobile bill,Bills
electric bill,Bills
college fees,Education
course purchase,Education
online course,Education
book purchase,Education
tuition fees,Education
exam fees,Education
study material,Education
training program,Education
certification course,Education
learning subscription,Education
online class,Education
buy notebook,Education
course fee,Education
gift purchase,Other
donation,Other
random expense,Other
miscellaneous expense,Other
unknown expense,Other
cash withdrawal,Other
bank charges,Other
service fee,Other
late fee,Other
penalty charge,Other
random purchase,Other
classic milds,Other
marlboro gold,Other
gold flake,Other
cigarettes at pan shop,Other
loose cigarette,Other
tobacco pouch,Other
vape refill,Other
hookah flavor,Other
chewing tobacco,Other
lighter purchase,Other
rolling papers,Other
matches box,Other
daily newspaper,Other
milk packet delivery,Groceries
bread and eggs,Groceries
curd and lassi,Groceries
cooking oil,Groceries
wheat flour atta,Groceries
rice bag,Groceries
dal and pulses,Groceries
spices and masala,Groceries
salt and sugar,Groceries
tea leaves,Groceries
coffee powder,Groceries
bath soap,Groceries
shampoo sachet,Groceries
toothpaste and brush,Groceries
washing powder,Groceries
dishwash bar,Groceries
floor cleaner,Groceries
toilet cleaner,Groceries
garbage bags,Groceries
kitchen towels,Groceries
napkins and tissues,Groceries
mosquito repellent,Groceries
all out refill,Groceries
incense sticks agarbatti,Groceries
pooja items,Groceries
local kirana store,Groceries
supermarket bill,Groceries
fresh vegetables,Groceries
seasonal fruits,Groceries
onion and potato,Groceries
ginger and garlic,Groceries
coriander and chilies,Groceries
battery cells,Groceries
light bulb,Groceries
candle pack,Groceries
mop and broom,Groceries
bucket and mug,Groceries
safety pins,Groceries
shoe polish,Groceries
umbrella purchase,Shopping
rainy season gear,Shopping
winter hoodie,Shopping
blanket and quilt,Shopping
towel set,Shopping
handkerchief,Shopping
wallet purchase,Shopping
handbag for women,Shopping
backpack for office,Shopping
laptop bag,Shopping
suitcase for travel,Shopping
duffel bag,Shopping
mobile screen guard,Shopping
phone back cover,Shopping
earphone case,Shopping
charging cable,Shopping
electric extension board,Shopping
multi plug adapter,Shopping
hair oil,Shopping
face wash,Shopping
body lotion,Shopping
shaving cream,Shopping
aftershave,Shopping
razor blades,Shopping
hair gel,Shopping
comb and brush,Shopping
makeup kit,Shopping
lipstick and kajal,Shopping
nail polish,Shopping
face powder,Shopping
sunscreen lotion,Shopping
cotton pads,Shopping
sanitary napkins,Health
adult diapers,Health
baby wipes,Groceries
talcum powder,Groceries
band-aid,Health
antiseptic liquid,Health
dettol bottle,Health
cough syrup,Health
pain relief spray,Health
volini gel,Health
digestive tablets,Health
pudina hara,Health
glucose powder,Health
ors sachet,Health
bandages and gauze,Health
medical tape,Health
thermometer digital,Health
face mask n95,Health
hand wash liquid,Groceries
hand sanitizer gel,Groceries
house rent,Bills
apartment maintenance,Bills
society charges,Bills
property tax,Bills
income tax payment,Bills
insurance premium,Bills
lic policy,Bills
pension contribution,Bills
loan emi,Bills
car loan payment,Bills
home loan emi,Bills
personal loan,Bills
credit card bill,Bills
bank interest,Bills
atm withdrawal fee,Other
charity donation,Other
temple offering,Other
wedding gift,Other
shagun envelope,Other
courier charges,Other
speed post,Other
printing and xerox,Education
stationary items,Education
